Oblast,age,kidsYoN,heaIns2600+,urHeaInsIncrease,heaInsCivServants,heaInsArmy,heaInsPolice,accessHeaPoor,heaInsPregnant,constVsRentInvest,constVsRentInvest2,constVsRentInvest3,municipalHousingSales,municipalHousingSales2,municipalHousingSales3,illegalHousing2,illegalHousing,illegalHousing3,freeMedicCare,skillsEduVsBusiness,vulnKidsEduMeasures,busSeatBG,busSeatTR,busSeatROMA,strHomeBG,strHomeTR,strHomeROMA,eatRestBG,eatResTR,eatResROMA,workplaceBG,workplaceTR,workplaceRoma,serveResBG,serveResTR,serveResROMA,rentBG,rentTR,rentROMA,friendsBG,friendsTR,friendsROMA,marryBG,marryTR,marryROMA,schoolROMAkids,schoolIMIGRkids,teacherTR,teacherROMA,doctorTR,doctorROMA,policeTR,policeROMA,bossTR,bossROMA,armyTR,armyROMA,prosecTR,prosecROMA,govminTR,govminROMA,spoinstrROMA,gender2,gender,monthBirth,yearBirth,familyStatus,education,edu,edu2,ethnicity,ethDetails,еmplStatus,industry,jobClass,job,hshldMembers,hshldU18,netHshldIncome,placeType,plType
Хасково,39,Нямам деца,Да,Не,Не,Не,Не,Не,Не,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Не,Не,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Не,Жена,Жени,8,1978,"В съжителство, без брак", Средно общо – гимназиално,Средно,Средно,Турска, , Работещ на постоянен трудов договор," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Квалифициран персонал,шивачка,3,0, До 499 лв, Малък град ,Малък град
Сливен,30,Нямам деца,НП,НП,НП,НП,НП,НП,Да,НП,не мога да преценя,не мога да преценя,да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,7,1987,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Турска, , Работещ на постоянен трудов договор, Здравеопазване,Квалифициран персонал,лекар,4,0, Без отговор, Село,Село
Добрич,21,Нямам деца,Да,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,"да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,НП,НП,Да,Не,Да,НП,Да,Не,Да,Не,Да,НП,Да,Не,Да,Не,Да,Не,Да,Не,НП,Mъж,Mъжe,2,1997,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Турска, , Работещ на срочен трудов договор," Туристическа дейност (хотели, ресторанти и други)",Квалифициран персонал,сервитьор,4,1, От 1000 до 1499 лв, Село,Село
Търговище,21,Нямам деца,Да,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,3,1997,Неженен/неомъжена, Основно,Основно,Основно и по-ниско,Турска, , Работещ без договор, Селскостопанска дейност,Неквалифициран персонал,събиране на билки,6,0, От 500 до 999 лв, Село,Село
Търговище,55,Нямам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,НП,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Не,Да,Да,Да,НП,Да,Да,Да,Не,Да,Mъж,Mъжe,3,1963,Неженен/неомъжена, Основно,Основно,Основно и по-ниско,Турска, , Безработен, Селскостопанска дейност,Не работя/не съм работил,не работи,1,0, До 499 лв, Село,Село
Шумен,35,Нямам деца,НП,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,"да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Не,Да,Да,Не,НП,НП,Не,Да,Да,Не,НП,Да,Не,НП,НП,НП,Не,НП,Не,НП,НП,Не,Не,НП,НП,НП,НП,НП,НП,Не,Mъж,Mъжe,99,1982,"В съжителство, без брак"," Средно специално, техническо и СПТУ",Средно,Средно,Турска, , Безработен, Не работя,Не работя/не съм работил, ,2,0, Без отговор, Друг областен град ,Друг областен град
Търговище,25,Нямам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,НП,Да,Не,Да,Жена,Жени,5,1992,Неженен/неомъжена, Средно общо – гимназиално,Средно,Средно,Турска, , Работещ на срочен трудов договор, По програма                                                 ,Административен и помощен персонал,по програма в кметството,4,1, От 500 до 999 лв, Село,Село
Русе,21,Нямам деца,Не,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",НП,не мога да преценя,не мога да преценя,"да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,Не мога да преценя,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Не,Не,Да,Не,Не,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Не,Mъж,Mъжe,9,1996,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Турска, , Работещ на постоянен трудов договор, Селскостопанска дейност,Квалифициран персонал,шофьор,4,0, Без отговор, Село,Село
Русе,23,Нямам деца,Не,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Да,Да,Да,Не,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,11,1994,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Турска, , Работещ на постоянен трудов договор," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Квалифициран персонал,в производство,3,0, От 1000 до 1499 лв, Село,Село
Русе,30,Нямам деца,Не,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Не,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Mъж,Mъжe,4,1987,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Турска, , Работещ на постоянен трудов договор," Туристическа дейност (хотели, ресторанти и други)",Квалифициран персонал,готвач,3,0, От 500 до 999 лв, Село,Село
Русе,44,Нямам деца,Не,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Да,Да,Не,Не,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Жена,Жени,3,1974,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Турска, , Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,продавач,1,0, От 500 до 999 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Русе,48,Нямам деца,НП,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Не,Да,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Не,Жена,Жени,10,1969,Разделен/а," Средно специално, техническо и СПТУ",Средно,Средно,Турска, , Безработен," Туристическа дейност (хотели, ресторанти и други)",Неквалифициран персонал,продавач,3,0, От 500 до 999 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Търговище,40,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Не,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,7,1977,"В съжителство, без брак", Основно,Основно,Основно и по-ниско,Българска, , Работещ без договор, Селскостопанска дейност,Неквалифициран персонал,на повикване в частни домове,7,5, От 500 до 999 лв, Село,Село
Шумен,43,Имам деца,НП,Не,Да,Да,Да,НП,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,Да,Да,Да,Да,Не,Не,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,9,1974,В брак, Средно общо – гимназиално,Средно,Средно,Българска, , Работещ на постоянен трудов договор, Здравеопазване,Неквалифициран персонал,детегледач в ЦНСМ,3,1, От 500 до 999 лв, Малък град ,Малък град
София град,34,Имам деца,Да,Не,НП,НП,НП,Не,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",НП,не мога да преценя,не мога да преценя,не мога да преценя,не мога да преценя,не мога да преценя,Не мога да преценя,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Да,НП,Не,Да,Да,Не,Да,Да,Не,Да,НП,Не,Да,Да,Не,Да,НП,НП,Да,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,НП,Да,Не,Не,Не,Не,Mъж,Mъжe,2,1984,"В съжителство, без брак"," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Финансова дейност и бизнес услуги,Квалифициран персонал,брокер,3,1, От 1500 до 1999 лв, Столица,Столица
София град,39,Имам деца,НП,НП,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,Не мога да преценя,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,НП,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,НП,Жена,Жени,5,1978,"В съжителство, без брак"," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Строителство,Административен и помощен персонал,служител,3,1, Без отговор, Столица,Столица
София град,40,Имам деца,НП,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват",не мога да преценя,не мога да преценя,не мога да преценя,Не мога да преценя,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,НП,Да,Да,Не,Да,НП,Не,Да,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Жена,Жени,3,1978,"В съжителство, без брак", Висше –доктор,Висше,Висше,Българска, , Работещ на постоянен трудов договор, Научноизследователска и педагогическа дейност,Квалифициран персонал,преподавател,3,1, От 1500 до 1999 лв, Столица,Столица
София област,31,Имам деца,Не,Не,Не,Не,Не,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Да,Не,Да,Не,Не,Не,Да,Не,Не,Не,Да,Не,Да,Не,Не,Mъж,Mъжe,4,1986,"В съжителство, без брак"," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Спорт, изкуство",Квалифициран персонал,фудболист,3,0, Без отговор, Село,Село
Варна,54,Имам деца,Да,Да,Да,Да,Да,НП,Да,НП,не мога да преценя,не мога да преценя,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,4,1963,Разведен/а," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Квалифициран персонал,готвач,1,0, Без отговор, Малък град ,Малък град
София град,44,Имам деца,Да,Да,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Не мога да преценя,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Жена,Жени,5,1973,В брак," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,служител,5,2, Без отговор, Столица,Столица
Сливен,31,Имам деца,Да,Не,НП,НП,НП,Да,Не,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Не,Не,Не,Да,Да,Не,Да,Не,Не,Не,НП,Да,НП,Да,Не,Не,Не,Не,Не,Не,Не,Да,Да,Да,Да,Не,Жена,Жени,4,1986,В брак, Висше – професионален бакалавър (специалист или полувисше),Висше,Висше,Българска, , Друго неактивно лице, Здравеопазване,Експертен персонал без ръководни функции,мед.сестра,5,3, От 1000 до 1499 лв, Друг областен град ,Друг областен град
