Oblast,age,kidsYoN,heaIns2600+,urHeaInsIncrease,heaInsCivServants,heaInsArmy,heaInsPolice,accessHeaPoor,heaInsPregnant,constVsRentInvest,constVsRentInvest2,constVsRentInvest3,municipalHousingSales,municipalHousingSales2,municipalHousingSales3,illegalHousing2,illegalHousing,illegalHousing3,freeMedicCare,skillsEduVsBusiness,vulnKidsEduMeasures,busSeatBG,busSeatTR,busSeatROMA,strHomeBG,strHomeTR,strHomeROMA,eatRestBG,eatResTR,eatResROMA,workplaceBG,workplaceTR,workplaceRoma,serveResBG,serveResTR,serveResROMA,rentBG,rentTR,rentROMA,friendsBG,friendsTR,friendsROMA,marryBG,marryTR,marryROMA,schoolROMAkids,schoolIMIGRkids,teacherTR,teacherROMA,doctorTR,doctorROMA,policeTR,policeROMA,bossTR,bossROMA,armyTR,armyROMA,prosecTR,prosecROMA,govminTR,govminROMA,spoinstrROMA,gender2,gender,monthBirth,yearBirth,familyStatus,education,edu,edu2,ethnicity,ethDetails,еmplStatus,industry,jobClass,job,hshldMembers,hshldU18,netHshldIncome,placeType,plType
Смолян,39,Нямам деца,Да,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,не мога да преценя,не мога да преценя,не мога да преценя,Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Не,Не,Не,Не,Да,Жена,Жени,12,1978,Неженен/неомъжена, Основно,Основно,Основно и по-ниско,Друга,българо-мохамеданка, Безработен, Не работя,Не работя/не съм работил, ,1,0, До 499 лв, Друг областен град ,Друг областен град
Бургас,55,Имам деца,Не,Не,Не,Не,Не,НП,НП,НП,не мога да преценя,не мога да преценя,да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Не,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,3,1963,В брак," Висше – магистър, бакалавър",Висше,Висше,Друга,арменска, Работещ на постоянен трудов договор, Селскостопанска дейност,Управленски персонал на средно ниво,лесовъд,2,0, От 2000 до 2499 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Плевен,26,Имам деца,Да,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Не,Да,Да,НП,Да,НП,Не,Да,Да,НП,Да,Да,Не,Да,НП,Да,НП,Да,Да,Да,Не,Да,Не,НП,НП,НП,НП,Не,Не,Да,Mъж,Mъжe,11,1991,"В съжителство, без брак", Средно общо – гимназиално,Средно,Средно,Друга,англичанин, Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,сервитьор,4,2, От 500 до 999 лв, Друг областен град ,Друг областен град
Търговище,27,Имам деца,Да,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,Не мога да преценя,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,НП,Да,НП,Да,Да,Да,Жена,Жени,12,1990,"В съжителство, без брак", Начално и по-ниско,Начално и по-ниско,Основно и по-ниско,Ромска, , Безработен, Не работя,Не работя/не съм работил, ,9,7, От 500 до 999 лв, Село,Село
Разград,34,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,Да,Да,Да,Да,Да,Жена,Жени,11,1983,"В съжителство, без брак", Основно,Основно,Основно и по-ниско,Ромска, , Безработен," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Неквалифициран персонал,зареждач в цех за боза,9,6, От 500 до 999 лв, Село,Село
София област,53,Имам деца,Да,Не,Да,Не,Не,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,1,1965,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Ромска, , Работещ на постоянен трудов договор, Транспорт,Квалифициран персонал,шофъор,3,0, 3000+ лв, Село,Село
Добрич,24,Имам деца,НП,Не,Да,Да,Да,НП,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,Не мога да преценя,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,НП,Да,Да,Да,НП,Да,НП,Да,Да,Да,НП,Да,Да,Да,НП,Да,Жена,Жени,12,1993,"В съжителство, без брак", Основно,Основно,Основно и по-ниско,Ромска, , Безработен, Не работя,Не работя/не съм работил, ,6,4, От 500 до 999 лв, Друг областен град ,Друг областен град
Русе,26,Имам деца,Не,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,2,1992,"В съжителство, без брак", Начално и по-ниско,Начално и по-ниско,Основно и по-ниско,Ромска, , Безработен, Не работя,Не работя/не съм работил, ,9,4, Без отговор, Голям областен град > 100 000 души,Голям областен град > 100 000 души
София област,45,Имам деца,Не,Не,Не,Не,Не,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,6,1972,"В съжителство, без брак", Основно,Основно,Основно и по-ниско,Ромска, , Друго неактивно лице," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Квалифициран персонал,шивачка,3,1, Без отговор, Малък град ,Малък град
Добрич,45,Имам деца,Да,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,4,1972,"В съжителство, без брак", Начално и по-ниско,Начално и по-ниско,Основно и по-ниско,Ромска, , Друго неактивно лице, Не работя,Не работя/не съм работил, ,5,1, Без отговор, Друг областен град ,Друг областен град
Враца,48,Имам деца,Да,Не,Да,Да,Да,Не,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Не мога да преценя,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Жена,Жени,11,1969,В брак, Основно,Основно,Основно и по-ниско,Ромска, , Безработен, Не работя,Не работя/не съм работил, ,2,0, До 499 лв, Село,Село
